rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR,PL_TYPE,PA
       1,         439,a,Direct Imaging,           6,      64.8530,       0,     0.218655,       0,      0.00000,       0,     -135.761,       0,   0.00414333,       0,Mass,    0.0977795,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Warm_Earth,      158.302
       2,         439,b,Direct Imaging,           6,      61.6546,       0,     0.211405,       0,      0.00000,       0,     -135.084,       0,   0.00263658,       0,Mass,    0.0841031,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Warm_Earth,      158.302
       3,         439,c,Direct Imaging,           6,      33.9685,       0,     0.142077,       0,      0.00000,       0,     -135.488,       0,  0.000946757,       0,Mass,    0.0597784,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Warm_Earth,      158.302
       4,         439,d,Direct Imaging,           6,      520.169,       0,     0.876130,       0,      0.00000,       0,     -134.949,       0,   0.00480813,       0,Mass,     0.102752,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Cold_Earth,      158.302
       5,         439,e,Direct Imaging,           6,      3.01299,       0,    0.0282577,       0,      0.00000,       0,     -138.224,       0,    0.0287980,       0,Mass,     0.245578,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Hot_Neptune,      158.302
       6,         439,f,Direct Imaging,           6,      92.0393,       0,     0.276135,       0,      0.00000,       0,     -135.467,       0,    0.0160580,       0,Mass,     0.175887,       0, , ,       0,       0,       0,       0,00h05m24.43s,      1.35178,-37d21m26.5s,     -37.3574,      4.36053,       0,      8.56000,       0,       0,       0,V (Johnson),      4049.60,       0,       0,     0.331586,       0,       0,     0.335047,       0,       0, ,Cold_Neptune,      158.302
       7,         544,a,Direct Imaging,           7,      159.599,       0,     0.552302,       0,      0.00000,       0,     -93.8390,       0,   0.00287334,       0,Mass,    0.0865487,       0, , ,       0,       0,       0,       0,00h06m36.78s,      1.65327,+29d01m17.4s,      29.0215,      13.7024,       0,      6.07000,       0,       0,       0,V (Johnson),      5407.60,       0,       0,     0.882371,       0,       0,     0.878462,       0,       0, ,Hot_Earth,      56.9454
       8,         544,b,Direct Imaging,           7,      178.856,       0,     0.595880,       0,      0.00000,       0,     -90.0194,       0,   0.00390724,       0,Mass,    0.0958860,       0, , ,       0,       0,       0,       0,00h06m36.78s,      1.65327,+29d01m17.4s,      29.0215,      13.7024,       0,      6.07000,       0,       0,       0,V (Johnson),      5407.60,       0,       0,     0.882371,       0,       0,     0.878462,       0,       0, ,Hot_Earth,      56.9454
       9,         544,c,Direct Imaging,           7,      320.441,       0,     0.879000,       0,      0.00000,       0,     -94.6147,       0,   0.00506388,       0,Mass,     0.104542,       0, , ,       0,       0,       0,       0,00h06m36.78s,      1.65327,+29d01m17.4s,      29.0215,      13.7024,       0,      6.07000,       0,       0,       0,V (Johnson),      5407.60,       0,       0,     0.882371,       0,       0,     0.878462,       0,       0, ,Warm_Earth,      56.9454
      10,         544,d,Direct Imaging,           7,      278.984,       0,     0.801450,       0,      0.00000,       0,     -91.9254,       0,   0.00299314,       0,Mass,    0.0877352,       0, , ,       0,       0,       0,       0,00h06m36.78s,      1.65327,+29d01m17.4s,      29.0215,      13.7024,       0,      6.07000,       0,       0,       0,V (Johnson),      5407.60,       0,       0,     0.882371,       0,       0,     0.878462,       0,       0, ,Warm_Earth,      56.9454
